"X","Swidtab","Cygnets","CygnetsII","CygnetsIII","Age","PrevSeaMaxDUr","PrevSeaMove","PrevSSites","SWID","Sex","Season","PrevSeason","PrevSeaWWT","MainSite","PrevSeaMS","PrevSeaBS","ThisSeaWWT","PrevSeaWWT.1","Julian","PrevSeaJulian","PBS","PopBSAll","Ind","WWTBOTH","WWTNON","WWTOUT","WWTIN","WWTNEW","Age.Z","PBS.Z","PopBSAll.Z","PrevSeaMaxDUr","PrevSSites.Z","PrevSeaJulian.Z"
"31",53,12,2,2,1,4,84,NA,1,"D00012","F",1982,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",77,70,4,1,35,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,0.836481669578908,-4.37211962739665,84,-0.596234559041618,-0.847883791097627
"32",54,12,1,1,1,5,114,264.9914436,2,"D00012","F",1983,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",71,77,5,15.69,36,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,1.15856687597251,-0.220998253620267,114,0.527944169837395,-0.169249826904554
"33",56,12,0,NA,0,8,135,NA,1,"D00012","F",1986,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",78,90,5,11.2,37,"WWTBOTH","","","","WWTBOTH",0.591614684629545,1.15856687597251,-1.48978892538718,135,-0.596234559041618,1.09107039231115
"34",60,13,0,NA,0,4,131,NA,1,"D00013","M",1983,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",73,66,0,15.69,39,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,-0.220998253620267,131,-0.596234559041618,-1.23567462777938
"35",61,13,0,NA,0,5,146,NA,1,"D00013","M",1984,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",72,73,0,20.83,40,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,-0.451859155995521,1.23147035503941,146,-0.596234559041618,-0.55704066358631
"36",62,13,0,NA,0,6,129,NA,1,"D00013","M",1985,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",96,72,0,22.9,41,"WWTBOTH","","","","WWTBOTH",-0.0304606532660867,-0.451859155995521,1.8164139386825,129,-0.596234559041618,-0.653988372756749
"37",65,14,2,2,1,4,84,NA,1,"D00014","M",1982,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",77,70,4,1,43,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,0.836481669578908,-4.37211962739665,84,-0.596234559041618,-0.847883791097627
"38",66,14,1,1,1,5,114,264.9914436,2,"D00014","M",1983,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",71,77,5,15.69,44,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,1.15856687597251,-0.220998253620267,114,0.527944169837395,-0.169249826904554
"39",69,15,1,1,1,4,143,NA,1,"D00015","F",1982,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",72,74,2,1,46,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,0.192311256791694,-4.37211962739665,143,-0.596234559041618,-0.460092954415871
"40",70,15,0,NA,0,5,123,NA,1,"D00015","F",1983,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",71,72,2,15.69,47,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,0.192311256791694,-0.220998253620267,123,-0.596234559041618,-0.653988372756749
"41",71,15,6,6,1,6,136,NA,1,"D00015","F",1984,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",77,71,8,20.83,48,"WWTBOTH","","","","WWTBOTH",-0.0304606532660867,2.12482249515334,1.23147035503941,136,-0.596234559041618,-0.750936081927188
"42",72,15,4,4,1,7,135,NA,1,"D00015","F",1985,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",87,77,12,22.9,49,"WWTBOTH","","","","WWTBOTH",0.280577015681729,3.41316332072776,1.8164139386825,135,-0.596234559041618,-0.169249826904554
"43",73,15,3,3,1,8,148,NA,1,"D00015","F",1986,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",69,87,15,11.2,50,"WWTBOTH","","","","WWTBOTH",0.591614684629545,4.37941893990858,-1.48978892538718,148,-0.596234559041618,0.800227264799837
